Name,Email,Age,Location,Occupation,Bought_Sold,Budget,Prop_Type,Parking,CCTV,Gym,Transit,Price,Location_Pref,School,Builder,Source,Interest,Track,Challenge,Trust,Feature,Trend_Imp,Price_5yr
Anthony,yfleming@thomas-price.com,33,North Edward,1,0,2,2,1,1,1,0,0,0,1,0,2,3,1,1,1,3,3,2
Juan,margaret97@yahoo.com,55,Jennafurt,3,1,3,1,1,1,1,1,0,0,0,0,3,3,2,3,1,1,3,3
Nicholas,mhernandez@nelson.com,48,New Timothy,1,0,2,1,1,0,1,1,1,1,0,1,4,4,1,1,3,4,3,2
Mario,ilindsey@hotmail.com,37,Smithshire,1,1,5,1,1,1,1,1,1,1,1,0,4,3,1,4,1,4,3,2
Gary,sheilalucero@torres-hernandez.info,52,New Matthewland,2,0,4,2,0,0,1,1,1,0,0,0,4,3,4,4,3,4,2,3
Robert,priscillakennedy@chen.org,44,Whitakerbury,1,1,4,4,0,1,0,0,0,1,0,1,4,2,1,4,1,2,4,1
Reginald,jasmine63@yahoo.com,55,West Matthewland,3,0,4,1,1,1,1,1,1,0,0,0,4,1,4,4,3,1,1,1
Albert,rachaelwilliams@gmail.com,40,Justintown,1,0,5,1,1,0,0,0,1,0,1,0,3,1,4,4,2,2,3,3
Shelly,turnermichelle@hotmail.com,55,Amberfort,1,0,1,3,0,1,1,1,0,1,1,0,2,2,3,2,3,1,4,1
Mitchell,cory28@yahoo.com,44,Farmershire,3,1,5,1,0,1,0,1,1,1,0,1,4,1,2,4,3,3,2,2
Donald,chad34@gmail.com,45,West Michelle,2,1,4,5,0,1,0,1,1,0,0,1,1,2,2,1,2,2,1,1
Alicia,nicholas59@salazar.com,44,South Stephenview,3,1,3,2,0,0,1,1,1,1,1,0,4,4,4,1,2,3,3,3
Megan,david18@hotmail.com,54,East Angela,3,1,2,5,1,0,0,1,0,1,0,1,4,4,1,3,3,3,2,3
Bryan,christopher75@woods.net,47,Stevenburgh,3,0,2,5,1,0,1,0,0,0,1,0,4,1,1,1,2,1,3,2
Eric,leeashley@gmail.com,43,Lake Kenneth,2,1,5,5,0,1,1,1,0,0,1,0,2,3,4,2,2,1,1,2
Krystal,brandondouglas@gmail.com,31,East Beckyborough,3,0,4,2,0,0,0,0,0,0,0,1,4,4,4,3,2,3,2,2
Joseph,matthewrose@hotmail.com,50,Lake Williamstad,2,0,4,5,1,1,1,0,0,0,1,0,4,1,3,1,2,2,3,3
Angela,molinapaula@rivers-roman.net,42,Lake Leah,4,0,3,1,0,1,1,0,1,1,1,1,2,3,3,1,2,3,2,3
Tina,tarnold@porter-smith.info,33,Pooleland,4,1,1,5,0,1,1,0,0,0,0,0,4,2,1,2,1,4,1,3
Benjamin,donnabates@thompson.net,55,Burgessberg,1,0,1,1,0,0,0,1,1,1,0,0,2,2,1,1,2,3,3,3
James,lbutler@yahoo.com,52,Coleton,4,1,2,2,1,0,0,1,0,1,1,0,3,4,4,2,2,4,3,3
Denise,mpadilla@yahoo.com,55,South Teresa,1,1,5,2,1,0,1,0,1,0,1,0,1,2,3,3,1,1,2,3
Timothy,uyoung@yahoo.com,32,North Josephborough,3,0,2,1,1,1,1,0,1,1,0,0,4,3,4,1,3,1,3,1
Brian,zpowers@gmail.com,40,New Edwardshire,1,1,1,2,1,0,1,1,0,1,1,1,4,1,2,3,1,2,1,2
Misty,jamie90@powell-rocha.com,26,Christopherville,4,0,4,1,0,0,0,0,0,1,0,0,1,3,2,4,1,1,3,1
Michael,pittsnatalie@gmail.com,42,Pachecoborough,4,0,3,4,1,1,1,1,0,0,0,1,4,3,1,1,2,2,4,3
Renee,dreyes@gmail.com,29,West Kevin,2,0,1,1,1,1,1,0,0,1,0,0,1,4,2,1,1,3,1,2
Antonio,kathleen74@bryant-patton.biz,53,Brownburgh,2,0,3,5,0,1,0,0,1,1,0,1,4,4,3,3,1,2,2,2
Ian,cmyers@yahoo.com,45,Lake Davidview,2,0,4,3,1,0,1,0,1,1,1,0,1,1,4,2,3,3,3,1
Amanda,alexishughes@larson-garrett.com,27,Wendybury,3,1,5,1,1,0,0,0,0,1,1,1,1,1,1,1,2,2,4,1
Joshua,zfleming@maldonado-walker.com,55,East Julie,4,1,1,4,0,0,1,0,0,0,1,1,3,1,2,4,1,1,4,3
Maria,ssullivan@hotmail.com,39,Hartshire,3,0,3,4,1,0,1,0,1,0,1,1,2,2,3,1,1,3,3,3
Jennifer,mitchell14@hogan-kennedy.info,54,North Erikmouth,1,1,5,3,1,1,1,0,0,0,0,0,2,4,4,1,1,4,3,3
Derrick,eking@cortez.com,40,West Aliciastad,3,0,2,4,0,1,1,0,0,1,1,1,3,1,2,2,1,3,2,2
Linda,stacey42@hotmail.com,35,Morenoland,4,0,4,3,0,0,0,0,0,0,0,1,3,1,3,1,2,2,4,1
Michael,qlopez@hotmail.com,43,Barryton,1,0,3,2,1,1,0,0,0,1,0,1,4,3,1,1,2,2,3,2
Eric,robinwilliams@gmail.com,48,Lake Richard,2,0,3,1,1,0,0,1,1,0,0,1,1,3,1,1,3,4,4,3
Shelby,glee@gmail.com,28,Ericchester,4,0,5,2,0,1,0,0,1,0,1,0,4,3,2,4,3,3,3,1
Alexis,michelle72@yahoo.com,26,Matthewside,2,1,2,3,0,0,0,1,0,1,1,0,4,2,3,1,3,4,3,2
Wanda,clementsmichelle@gmail.com,37,Lake Juliehaven,2,0,4,2,1,1,1,0,0,1,1,1,4,3,2,1,3,2,2,1
Joshua,emilywilliams@miller.com,51,Lake Matthewstad,4,0,5,2,0,0,1,0,0,1,1,0,1,4,3,3,2,2,3,2
